track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,,,song_id,,,,,,
Cheap Thrills,0.0472,0.628,211666,0.698,3S4px9f4lceWdKf0gWciFu,0.00143,6,0.0907,-5.608,,0,0.105,89.976,4,https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu,,0.732,,,10/21/16,,3S4px9f4lceWdKf0gWciFu,,,,,,
Don't Let Me Down,0.157,0.532,208373,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11,0.136,-5.094,,1,0.172,159.803,4,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,,0.422,,,2/5/16,,1i1fxkWeaMmKEB4T7zqbzK,,,,,,
Blue Ain't Your Color,0.606,0.686,230600,0.417,6wycnu8FWXsj68ig7BEot9,1.79E-06,7,0.0844,-7.787,,1,0.0363,82.407,3,https://api.spotify.com/v1/tracks/6wycnu8FWXsj68ig7BEot9,,0.451,,,5/6/16,,6wycnu8FWXsj68ig7BEot9,,,,,,
Chill Bill,0.0312,0.886,177184,0.427,5uDASfU19gDxSjW8cnCaBp,0.00099,6,0.0906,-10.028,,1,0.145,108.034,4,https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp,,0.23,,,6/17/16,,5uDASfU19gDxSjW8cnCaBp,,,,,,
Cold Water,0.055,0.602,185360,0.797,7zsXy7vlHdItvUSH8EwQss,0,6,0.187,-5.084,,0,0.0534,92.928,4,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,,0.492,,,7/22/16,,7zsXy7vlHdItvUSH8EwQss,,,,,,
In the Name of Love,0.109,0.501,195706,0.519,23L5CiUhw2jV1OIMwthR3S,0,4,0.454,-5.88,,0,0.0409,133.99,4,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,,0.168,,,7/29/16,,23L5CiUhw2jV1OIMwthR3S,,,,,,
You Was Right,0.069,0.843,163944,0.359,2ANLarE8yHVsLWW21nj79M,0,0,0.12,-7.417,,1,0.461,81.987,4,https://api.spotify.com/v1/tracks/2ANLarE8yHVsLWW21nj79M,,0.156,,,5/27/16,,2ANLarE8yHVsLWW21nj79M,,,,,,
"i hate u, i love u (feat. olivia o'brien)",0.687,0.492,251033,0.275,7vRriwrloYVaoAe3a9wJHe,0,6,0.101,-13.4,,0,0.3,92.6,4,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,,0.18,,,3/25/16,,7vRriwrloYVaoAe3a9wJHe,,,,,,
OOOUUU,0.533,0.64,234525,0.819,0D21XvHcVsIvJM6FcGY2BT,0,7,0.156,-4.108,,1,0.455,166.012,4,https://api.spotify.com/v1/tracks/0D21XvHcVsIvJM6FcGY2BT,,0.623,,,5/20/16,,0D21XvHcVsIvJM6FcGY2BT,,,,,,
Too Much Sauce,0.0496,0.96,223093,0.547,5oyUurs28XRagLa8lgm6V3,0,6,0.216,-6.992,,0,0.0786,121.01,4,https://api.spotify.com/v1/tracks/5oyUurs28XRagLa8lgm6V3,,0.186,,,8/19/16,,5oyUurs28XRagLa8lgm6V3,,,,,,
Unsteady,0.178,0.389,193546,0.665,7lGKEWMXVWWTt3X71Bv44I,0.000732,0,0.116,-6.169,,1,0.0644,117.055,4,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,,0.199,,,6/30/15,,7lGKEWMXVWWTt3X71Bv44I,,,,,,
"Mary, Did You Know?",0.302,0.497,203373,0.312,4z8sz6E4YyFuEkv5o7IJni,0,11,0.0968,-9.088,,0,0.0269,105.036,4,https://api.spotify.com/v1/tracks/4z8sz6E4YyFuEkv5o7IJni,,0.177,,,10/30/15,,4z8sz6E4YyFuEkv5o7IJni,,,,,,
She's Mine Pt. 1,0.776,0.435,209080,0.202,0HtOJj7Kl74s1Ngf3MWeif,0.0976,2,0.245,-15.097,,1,0.0702,139.574,4,https://api.spotify.com/v1/tracks/0HtOJj7Kl74s1Ngf3MWeif,,0.0429,,,12/9/16,,0HtOJj7Kl74s1Ngf3MWeif,,,,,,
Needed Me,0.11,0.671,191600,0.314,1Tt4sE4pXi57mTD1GCzsqm,0,5,0.0825,-8.091,,0,0.244,110.898,4,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,,0.296,,,1/28/16,,1Tt4sE4pXi57mTD1GCzsqm,,,,,,
One Dance,0.00842,0.796,173986,0.61,1zi7xx7UVEFkmKfv06H8x0,0.00286,1,0.351,-5.857,,1,0.0516,103.99,4,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,,0.391,,,5/6/16,,1zi7xx7UVEFkmKfv06H8x0,,,,,,
Ride,0.00835,0.645,214506,0.713,2Z8WuEywRWYTKe1NybPQEW,0,6,0.113,-5.355,,1,0.0393,74.989,4,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,,0.566,,,5/15/15,,2Z8WuEywRWYTKe1NybPQEW,,,,,,
This Is What You Came For,0.199,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,,0.465,,,4/29/16,,0azC730Exh71aQlOt9Zj3y,,,,,,
Panda,0.0235,0.72,247866,0.748,275a9yzwGB6ncAW4SxY7q3,0,10,0.369,-5.522,,0,0.393,145.22,4,https://api.spotify.com/v1/tracks/275a9yzwGB6ncAW4SxY7q3,,0.246,,,2/26/16,,275a9yzwGB6ncAW4SxY7q3,,,,,,
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.255,0.502,243490,0.786,4dASQiO1Eoo3RJvt74FtXB,0,9,0.65,-4.378,,0,0.317,169.021,4,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,,0.739,,,6/24/16,,4dASQiO1Eoo3RJvt74FtXB,,,,,,
No Problem (feat. Lil Wayne & 2 Chainz),0.156,0.652,304606,0.795,0v9Wz8o0BT8DU38R4ddjeH,0,11,0.123,-5.192,,0,0.174,135.018,4,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,,0.788,,,5/27/16,,0v9Wz8o0BT8DU38R4ddjeH,,,,,,
Send My Love (To Your New Lover),0.0415,0.69,223080,0.524,4BHzQ9C00ceJxfG16AlNWb,3.16E-06,6,0.17,-8.39,,0,0.103,164.023,4,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,,0.562,,,6/24/16,,4BHzQ9C00ceJxfG16AlNWb,,,,,,
We Don't Talk Anymore (feat. Selena Gomez),0.621,0.728,217706,0.563,37FXw5QGFN7uwwsLy8uAc0,0,1,0.179,-8.053,,0,0.134,100.017,4,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,,0.352,,,1/29/16,,37FXw5QGFN7uwwsLy8uAc0,,,,,,
"Sit Still, Look Pretty",0.141,0.657,202221,0.739,0EGuSSpuu9wmHCtvb4PdLO,0,2,0.178,-4.081,,1,0.274,181.994,4,https://api.spotify.com/v1/tracks/0EGuSSpuu9wmHCtvb4PdLO,,0.543,,,10/7/16,,0EGuSSpuu9wmHCtvb4PdLO,,,,,,
Hymn For The Weekend,0.255,0.49,258826,0.743,3RiPr603aXAoi4GHyXx0uy,7.21E-06,0,0.3,-5.155,,0,0.0409,89.974,4,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,,0.363,,,12/4/15,,3RiPr603aXAoi4GHyXx0uy,,,,,,
Controlla,0.0962,0.747,245226,0.477,4CpKEkdGbOJV51cSvx7SoG,0,10,0.114,-11.062,,0,0.276,93.44,4,https://api.spotify.com/v1/tracks/4CpKEkdGbOJV51cSvx7SoG,,0.321,,,5/13/16,,4CpKEkdGbOJV51cSvx7SoG,,,,,,
Into You,0.0162,0.623,244453,0.734,2meEiZKWkiN28gITzFwQo5,1.90E-06,9,0.145,-5.95,,1,0.107,107.853,4,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,,0.372,,,5/20/16,,2meEiZKWkiN28gITzFwQo5,,,,,,
